Months,2019,2020,2021,Growth 2020/19 (%),Growth 2021/20 (%)
January,440907,611702,486338,38.74,-20.49
February,402203,495109,431118,23.1,-12.92
March,484602,287681,479317,-40.64,66.61
April,507704,233,413089,-99.95,177191.42
May,618600,25760,204898,-95.84,695.41
June,668724,180956,217473,-72.94,20.18
July,775580,284643,339026,-63.3,19.11
August,673569,270669,364833,-59.82,34.79
September,489514,274391,435194,-43.95,58.6
October,624463,332214,653771,-46.8,96.79
November,606876,406941,683658,-32.94,68
December,690417,422057,773806,-38.87,83.34
Total,6983159,3592356,5482521,-48.56,52.62
